Prosodic Collocational Patterns of ZAI and ZHENGZAI in modern Chinese,,,,
Verbs,ZAI,ZHENGZAI,Number of syllables,
破坏你们的爱情,0,1,polysyllabic lexical items,
破坏日内瓦会议规定的任务的执行,0,1,polysyllabic lexical items,
破坏它,1,0,polysyllabic lexical items,
破坏停火和制造边境紧张局势,2,0,polysyllabic lexical items,
破坏我们的社会主义事业,0,1,polysyllabic lexical items,
破坏武器,1,0,polysyllabic lexical items,
破坏这一地区的稳定,0,1,polysyllabic lexical items,
扑火,1,1,disyllabic lexical items,
扑灭已经发生的近东战火,0,1,polysyllabic lexical items,
铺床,1,1,disyllabic lexical items,
铺平道路,1,0,polysyllabic lexical items,
期待,2,0,disyllabic lexical items,
期待诺贝尔奖生理及医学奖获得者内尔教授与中国博士生亲切交谈,1,0,polysyllabic lexical items,
期盼,1,0,disyllabic lexical items,
期盼他的电话,1,0,polysyllabic lexical items,
期盼这次大会,1,0,polysyllabic lexical items,
欺骗他,1,0,polysyllabic lexical items,
欺骗她,1,0,polysyllabic lexical items,
欺骗自己,2,0,polysyllabic lexical items,
奇怪,1,6,disyllabic lexical items,
祈祷,7,0,disyllabic lexical items,
祈祷和平,1,0,polysyllabic lexical items,
祈祷什么,1,0,polysyllabic lexical items,
骑公共自行车,1,0,polysyllabic lexical items,
骑马,1,0,disyllabic lexical items,
接近这个辉煌,0,1,polysyllabic lexical items,
禁止他用任何动作来打搅这一幅静美的图画,1,0,polysyllabic lexical items,
困扰,2,0,disyllabic lexical items,
困扰国家图书馆,1,0,polysyllabic lexical items,
留恋刚刚走出的梦境,1,0,polysyllabic lexical items,
流行,2,2,disyllabic lexical items,
流行什么,1,0,polysyllabic lexical items,
启发她们,1,0,polysyllabic lexical items,
起变化,0,2,polysyllabic lexical items,
起古巴人的作用,0,1,polysyllabic lexical items,
起糊涂心事,1,0,polysyllabic lexical items,
起火,1,1,disyllabic lexical items,
起货,0,1,disyllabic lexical items,
起来,0,1,disyllabic lexical items,
起来斗争,0,1,polysyllabic lexical items,
起破坏作用,1,0,polysyllabic lexical items,
起网,0,1,disyllabic lexical items,
起雾,1,0,disyllabic lexical items,
起效,0,1,disyllabic lexical items,
起作用,11,0,polysyllabic lexical items,
气他什么,1,0,polysyllabic lexical items,
气通讯员,1,0,polysyllabic lexical items,
牵出战马,0,1,polysyllabic lexical items,
前进,74,14,disyllabic lexical items,
前进并向前看,1,0,polysyllabic lexical items,
强迫约旦加入侵略性的巴格达条约,1,0,polysyllabic lexical items,
抢,1,0,monosyllabic lexical items,
抢时间,1,0,polysyllabic lexical items,
抢他们口里的一根骨头,1,0,polysyllabic lexical items,
敲,5,0,monosyllabic lexical items,
敲打“核威慑”的破锣,1,0,polysyllabic lexical items,
敲击他的头,1,0,polysyllabic lexical items,
敲门,5,0,disyllabic lexical items,
敲门叫,1,0,polysyllabic lexical items,
敲门问,0,2,polysyllabic lexical items,
敲他的门,1,0,polysyllabic lexical items,
敲他底房门,1,0,polysyllabic lexical items,
敲她的窗子,1,0,polysyllabic lexical items,
切煎蛋,0,1,polysyllabic lexical items,
切面,0,1,disyllabic lexical items,
切猪草,1,0,polysyllabic lexical items,
清理,0,2,disyllabic lexical items,
清理河道内的淤泥和从上游冲下来的树木,0,2,polysyllabic lexical items,
清理火区余火,0,1,polysyllabic lexical items,
清理书桌,0,2,polysyllabic lexical items,
清理物件,1,0,polysyllabic lexical items,
清理现场,0,1,polysyllabic lexical items,
清理泄出的黄色培养液,0,1,polysyllabic lexical items,
清理帐目,0,1,polysyllabic lexical items,
清醒过来,0,1,polysyllabic lexical items,
请教毛主席,1,0,polysyllabic lexical items,
请教王琦瑶做大衣,1,0,polysyllabic lexical items,
请教掌握充填电话时需要注意的事情,0,1,polysyllabic lexical items,
请客,1,0,disyllabic lexical items,
请求补充枪支子弹,0,1,polysyllabic lexical items,
庆祝,2,0,disyllabic lexical items,
庆祝“五一”国际劳动节,1,0,polysyllabic lexical items,
庆祝胜利,0,1,polysyllabic lexical items,
求进步,3,0,polysyllabic lexical items,
求救,1,1,disyllabic lexical items,
求情,1,0,disyllabic lexical items,
求饶,1,0,disyllabic lexical items,
求他不要往下说,1,0,polysyllabic lexical items,
求他什么事,1,0,polysyllabic lexical items,
求他允许给趁这便船,1,0,polysyllabic lexical items,
求她底宽恕,1,0,polysyllabic lexical items,
求学,2,0,disyllabic lexical items,
求援,2,0,disyllabic lexical items,
驱逐别人,1,0,polysyllabic lexical items,
驱逐难忍的瞌睡,1,0,polysyllabic lexical items,
取出,0,1,disyllabic lexical items,
取得进展,0,1,polysyllabic lexical items,
取得巨大的成就,0,1,polysyllabic lexical items,
取得决定性的胜利,0,1,polysyllabic lexical items,
取得联系,0,1,polysyllabic lexical items,
取得令人瞩目的进展,0,1,polysyllabic lexical items,
取得全国胜利,0,1,polysyllabic lexical items,
取得实质性进展,0,2,polysyllabic lexical items,
取得新的胜利,1,0,polysyllabic lexical items,
取水,1,0,disyllabic lexical items,
去,1,0,monosyllabic lexical items,
流行这首歌,1,0,polysyllabic lexical items,
全体动员进行紧张的支前工作,0,1,polysyllabic lexical items,
劝,1,0,monosyllabic lexical items,
劝解,1,0,disyllabic lexical items,
劝开田,1,0,polysyllabic lexical items,
劝说白莉苹什么,1,0,polysyllabic lexical items,
劝说大家,1,0,polysyllabic lexical items,
劝他,1,0,disyllabic lexical items,
劝他不要老是想反攻大陆,1,0,polysyllabic lexical items,
劝他不要闹,1,0,polysyllabic lexical items,
劝他们,0,1,polysyllabic lexical items,
燃烧,40,9,disyllabic lexical items,
让菜,1,0,disyllabic lexical items,
绕圈子,1,0,polysyllabic lexical items,
迷惑我们,1,0,polysyllabic lexical items,
人吃人,1,0,polysyllabic lexical items,
忍受残酷的刑罚,1,0,polysyllabic lexical items,
忍受极大的痛楚,1,0,polysyllabic lexical items,
忍受落在脸上身上的视线,1,0,polysyllabic lexical items,
忍受那感情的鞭打,1,0,polysyllabic lexical items,
忍受身体内部突然袭来的不适,1,0,polysyllabic lexical items,
忍受一种锋利的刺痛,1,0,polysyllabic lexical items,
认那位苏文纨,1,0,polysyllabic lexical items,
认识到毛泽东的新民主主义及中国共产党和中国人民解放军扶助少数民族的政策乃是西藏人民的救星,0,1,polysyllabic lexical items,
迷路,3,0,disyllabic lexical items,
扔炸弹,1,0,polysyllabic lexical items,
扔砖头,1,0,polysyllabic lexical items,
容忍,1,0,disyllabic lexical items,
融入人们的生产生活,0,1,polysyllabic lexical items,
揉她,1,0,disyllabic lexical items,
揉眼睛,3,0,polysyllabic lexical items,
入圈,0,1,disyllabic lexical items,
入睡,1,0,disyllabic lexical items,
撒粪,0,1,disyllabic lexical items,
撒花瓣和大米,1,0,polysyllabic lexical items,
撒谎,12,0,disyllabic lexical items,
撒气,1,0,disyllabic lexical items,
洒水,1,0,disyllabic lexical items,
洒水和清扫路上的积物,1,0,polysyllabic lexical items,
塞进一个猫脸的人的嘴里去,0,1,polysyllabic lexical items,
散步,3,1,disyllabic lexical items,
散开,1,3,disyllabic lexical items,
散问题,0,1,polysyllabic lexical items,
丧失,0,3,disyllabic lexical items,
丧失威信,0,1,polysyllabic lexical items,
扫地,1,2,disyllabic lexical items,
扫描出来,0,1,polysyllabic lexical items,
扫去,0,1,disyllabic lexical items,
扫雪,0,1,disyllabic lexical items,
杀人,4,0,disyllabic lexical items,
晒麦,1,0,disyllabic lexical items,
晒太阳,2,0,polysyllabic lexical items,
晒阳光,1,0,polysyllabic lexical items,
闪,1,0,monosyllabic lexical items,
闪光,5,0,disyllabic lexical items,
闪亮,1,0,disyllabic lexical items,
闪烁,6,0,disyllabic lexical items,
扇他的嘴巴,0,1,polysyllabic lexical items,
伤人,1,0,disyllabic lexical items,
伤心,1,2,disyllabic lexical items,
伤心落泪,1,1,polysyllabic lexical items,
商量,3,3,disyllabic lexical items,
商量大家打伙儿去租用镇上那条”洋水车”,0,1,polysyllabic lexical items,
商量建都洛阳和称王的事,1,0,polysyllabic lexical items,
商量捐款救济震南村的水灾难民的事情,0,1,polysyllabic lexical items,
商量梨云的后事,0,1,polysyllabic lexical items,
商量清匪,0,1,polysyllabic lexical items,
商量什么,1,0,polysyllabic lexical items,
商量什么秘密军机,1,0,polysyllabic lexical items,
商量事情,1,0,polysyllabic lexical items,
商量应该给她一个什么样的处分,0,1,polysyllabic lexical items,
商量在冰岛北部或东北部建一座全天候的空军基地,0,1,polysyllabic lexical items,
上鞍子,1,0,polysyllabic lexical items,
上班,9,0,disyllabic lexical items,
上班和下班,1,0,polysyllabic lexical items,
上菜,0,1,disyllabic lexical items,
上车,1,2,disyllabic lexical items,
上船,0,1,disyllabic lexical items,
上大学,0,2,polysyllabic lexical items,
上大学四年级,0,1,polysyllabic lexical items,
上俄文课,0,1,polysyllabic lexical items,
上辅导班,1,0,polysyllabic lexical items,
上工,1,0,disyllabic lexical items,
上公开课,0,1,polysyllabic lexical items,
上客,1,0,disyllabic lexical items,
上课,1,5,disyllabic lexical items,
上煤,0,1,disyllabic lexical items,
上升,18,5,disyllabic lexical items,
上网,1,0,disyllabic lexical items,
上小学,0,1,polysyllabic lexical items,
上学,1,1,disyllabic lexical items,
烧,2,0,monosyllabic lexical items,
烧饭,1,1,disyllabic lexical items,
烧锅,1,0,disyllabic lexical items,
烧火煮饭,1,0,polysyllabic lexical items,
烧火做早饭,0,1,polysyllabic lexical items,
烧她的脸,1,0,polysyllabic lexical items,
烧铁,0,1,disyllabic lexical items,
烧香,1,0,disyllabic lexical items,
烧烟,1,1,disyllabic lexical items,
烧烟土,1,0,polysyllabic lexical items,
烧衣舍饭,1,0,polysyllabic lexical items,
烧早饭,0,1,polysyllabic lexical items,
设计,0,4,disyllabic lexical items,
设计从装料到成材连续生产的工厂,0,1,polysyllabic lexical items,
设计或施工,0,1,polysyllabic lexical items,
设计鞋带造型,0,1,polysyllabic lexical items,
设计新油印机,1,0,polysyllabic lexical items,
申请,0,1,disyllabic lexical items,
申请孔子学院的奖学金,0,1,polysyllabic lexical items,
申请要走的,0,1,polysyllabic lexical items,
申请一个科技部科技基础资源调查专项,0,1,polysyllabic lexical items,
申请一张张结婚需要的文件,1,0,polysyllabic lexical items,
伸舌头,1,0,polysyllabic lexical items,
呻吟,9,1,disyllabic lexical items,
呻吟、挣扎,1,0,polysyllabic lexical items,
审,1,0,monosyllabic lexical items,
审查,0,1,disyllabic lexical items,
审问,1,1,disyllabic lexical items,
审问郝摇旗,1,0,polysyllabic lexical items,
审问两个人,0,1,polysyllabic lexical items,
审问杨子荣捉来的小炉匠,1,0,polysyllabic lexical items,
审问一个人,0,1,polysyllabic lexical items,
渗,1,0,monosyllabic lexical items,
渗血丝,1,0,polysyllabic lexical items,
升出地平线,0,1,polysyllabic lexical items,
升高,2,0,disyllabic lexical items,
升帐,0,1,disyllabic lexical items,
生病,2,1,disyllabic lexical items,
生产,4,3,disyllabic lexical items,
生产冰毒,1,0,polysyllabic lexical items,
生产香料,1,0,polysyllabic lexical items,
生产一种小巧玲珑、活泼可爱的儿童自行车,0,1,polysyllabic lexical items,
生产自己的欣赏对象,1,0,polysyllabic lexical items,
生孩子,1,0,polysyllabic lexical items,
生很大的气,0,1,polysyllabic lexical items,
企图“摆脱共产党的领导”,1,0,polysyllabic lexical items,
生闷气,2,0,polysyllabic lexical items,
生气,20,5,disyllabic lexical items,
生谁的气,1,1,polysyllabic lexical items,
生四姑娘的气,0,1,polysyllabic lexical items,
生他的气,1,0,polysyllabic lexical items,
生我的气,3,0,polysyllabic lexical items,
生我什么气,1,0,polysyllabic lexical items,
生小猪,0,1,polysyllabic lexical items,
企图从他身边撬走李嘉诚,1,0,polysyllabic lexical items,
生自己气,1,0,polysyllabic lexical items,
盛饭,1,0,disyllabic lexical items,
失败,2,0,disyllabic lexical items,
失去,1,0,disyllabic lexical items,
失去生命力与活力,0,1,polysyllabic lexical items,
失去自己的斗志,0,1,polysyllabic lexical items,
失去自信,1,0,polysyllabic lexical items,
实现,3,6,disyllabic lexical items,
实现保共第十三次代表大会所制订的战略方针,0,1,polysyllabic lexical items,
实现工作重点的转,0,1,polysyllabic lexical items,
实现全面机械化和自动化,0,1,polysyllabic lexical items,
实现中国人民从站起来到富起来、强起来的伟大飞跃,0,1,polysyllabic lexical items,
实现自动售货,1,0,polysyllabic lexical items,
实现自己的诺言,1,0,polysyllabic lexical items,
实行,3,1,disyllabic lexical items,
实行管制,2,0,polysyllabic lexical items,
实行倾销,1,0,polysyllabic lexical items,
拾地上的玉兰花片,1,0,polysyllabic lexical items,
使劲,1,0,disyllabic lexical items,
使性子,1,0,polysyllabic lexical items,
使用,3,2,disyllabic lexical items,
使用粗暴的武力,0,1,polysyllabic lexical items,
使用毒气残杀老挝苗族人民,0,1,polysyllabic lexical items,
使用很大的力量,0,1,polysyllabic lexical items,
使用金兰湾,0,1,polysyllabic lexical items,
使用联想电脑,2,0,polysyllabic lexical items,
使用两只手,0,1,polysyllabic lexical items,
使用坦克、枪炮,0,1,polysyllabic lexical items,
使用一切方法希望在社会主义国家的大家庭中散布不和,1,0,polysyllabic lexical items,
使用油性涂料,1,0,polysyllabic lexical items,
使用早期的木制车厢,1,0,polysyllabic lexical items,
驶出港湾,0,1,polysyllabic lexical items,
驶入新筑车站货场,0,1,polysyllabic lexical items,
试验,1,3,disyllabic lexical items,
试验什么东西,1,0,polysyllabic lexical items,
试验他,1,0,polysyllabic lexical items,
试验他的刀锋,1,0,polysyllabic lexical items,
试验这一模式,0,1,polysyllabic lexical items,
试衣服,1,0,polysyllabic lexical items,
试营业,1,0,polysyllabic lexical items,
适应和熟悉增值税,0,1,polysyllabic lexical items,
适应沙漠的日子,1,0,polysyllabic lexical items,
适应突来的亮光,1,0,polysyllabic lexical items,
适应这个新的现实,1,0,polysyllabic lexical items,
适应正常重力,0,1,polysyllabic lexical items,
释放出现代观念的热能,1,0,polysyllabic lexical items,
收回它的光芒,0,1,polysyllabic lexical items,
收获,0,1,disyllabic lexical items,
收获谷物,1,0,polysyllabic lexical items,
收获故事和感动,2,0,polysyllabic lexical items,
收获小麦,0,1,polysyllabic lexical items,
收获一年来的劳动果实,0,1,polysyllabic lexical items,
收集材料,0,1,polysyllabic lexical items,
收集一些骂他的文章,0,1,polysyllabic lexical items,
收集资料,0,1,polysyllabic lexical items,
收拾,1,0,disyllabic lexical items,
收拾残乱的餐桌,1,0,polysyllabic lexical items,
收拾东西,0,6,polysyllabic lexical items,
收拾房间,0,1,polysyllabic lexical items,
收拾刚才翻乱的东西,0,2,polysyllabic lexical items,
收拾隔壁房间,0,1,polysyllabic lexical items,
收拾花草,1,0,polysyllabic lexical items,
收拾回去的东西,1,0,polysyllabic lexical items,
收拾镜奁,1,0,polysyllabic lexical items,
收拾卢象升和杨陆凯尸首,0,1,polysyllabic lexical items,
收拾箩担,0,1,polysyllabic lexical items,
收拾那些吸烟的家具,1,0,polysyllabic lexical items,
收拾晒在岸边草地上花花绿绿的衣服和床单,0,1,polysyllabic lexical items,
收拾什么东西,1,0,polysyllabic lexical items,
收拾锁锁剩下来的杂物,0,1,polysyllabic lexical items,
收拾碗,1,0,polysyllabic lexical items,
收拾屋子,0,1,polysyllabic lexical items,
收拾新装修的屋子,0,1,polysyllabic lexical items,
收拾行李,1,0,polysyllabic lexical items,
收拾行装,1,0,polysyllabic lexical items,
收拾一大堆废纸,0,1,polysyllabic lexical items,
收拾一小包行装,0,1,polysyllabic lexical items,
收拾桌子,1,1,polysyllabic lexical items,
收摊儿,0,1,polysyllabic lexical items,
收早稻,1,0,polysyllabic lexical items,
守夜,1,0,disyllabic lexical items,
守寨,1,0,disyllabic lexical items,
受管制,1,0,polysyllabic lexical items,
受过,0,1,disyllabic lexical items,
受苦,9,0,disyllabic lexical items,
受苦受难,2,0,polysyllabic lexical items,
受难,3,0,disyllabic lexical items,
受群众的审查,1,0,polysyllabic lexical items,
受社会的残酷的待遇,1,0,polysyllabic lexical items,
受审,0,1,disyllabic lexical items,
受训,0,1,disyllabic lexical items,
受折磨,1,0,polysyllabic lexical items,
受这三种力的压迫,1,0,polysyllabic lexical items,
受罪,5,0,disyllabic lexical items,
梳头,3,3,disyllabic lexical items,
梳头发,1,0,polysyllabic lexical items,
输液,1,0,disyllabic lexical items,
输液治疗,0,1,polysyllabic lexical items,
企图对美国政府的某些代表人物施行压力,0,1,polysyllabic lexical items,
数和,1,0,disyllabic lexical items,
数快板,1,0,polysyllabic lexical items,
数落荷西,1,0,polysyllabic lexical items,
数洋钱,0,1,polysyllabic lexical items,
刷锅洗碗,1,0,polysyllabic lexical items,
刷牙,1,0,disyllabic lexical items,
甩掉“雾都”帽子,0,1,polysyllabic lexical items,
睡,5,0,monosyllabic lexical items,
睡觉,5,2,disyllabic lexical items,
睡懒觉,1,0,polysyllabic lexical items,
睡午觉,2,1,polysyllabic lexical items,
说,143,3,monosyllabic lexical items,
说"老头子""老太婆",1,0,polysyllabic lexical items,
说：“要努力、要努力”,1,0,polysyllabic lexical items,
说：这儿就是你的家,1,0,polysyllabic lexical items,
说“胡说八道，没有的事”,1,0,polysyllabic lexical items,
说“离婚”这件事,1,0,polysyllabic lexical items,
说“思想解放”、“创新”,1,0,polysyllabic lexical items,
说“死了”、“警察”之类的词,1,0,polysyllabic lexical items,
说「希望龙打几个好仗，早日得胜，好回家乡」,1,0,polysyllabic lexical items,
说白话,1,0,polysyllabic lexical items,
说不贞的女子,1,0,polysyllabic lexical items,
说成“非常危险”,1,0,polysyllabic lexical items,
说创业之后你有多大把握去成功,1,0,polysyllabic lexical items,
说大话、空话,1,0,polysyllabic lexical items,
说二太太,1,0,polysyllabic lexical items,
说疯话,2,0,polysyllabic lexical items,
说服教育,0,1,polysyllabic lexical items,
说服刘胜能够同意他的意见,1,0,polysyllabic lexical items,
说服妈妈,1,0,polysyllabic lexical items,
说服谁,1,0,polysyllabic lexical items,
说服淘气的不听话的小弟弟,1,0,polysyllabic lexical items,
说胡话,1,0,polysyllabic lexical items,
说话,99,13,disyllabic lexical items,
说话儿,1,0,polysyllabic lexical items,
说黄太太,1,0,polysyllabic lexical items,
说谎,9,0,disyllabic lexical items,
说老三,1,0,polysyllabic lexical items,
说老三怎么好几天没来了呢,0,1,polysyllabic lexical items,
说离婚的事儿,0,1,polysyllabic lexical items,
说罗辑,1,0,polysyllabic lexical items,
说梦话,2,0,polysyllabic lexical items,
说明,1,0,disyllabic lexical items,
说明“这事有边”,1,0,polysyllabic lexical items,
说明日本政府积极调整国际关系的起点,1,0,polysyllabic lexical items,
说明他对中国人民的影响,1,0,polysyllabic lexical items,
说明他租的是外村地,1,0,polysyllabic lexical items,
说明这老屋难免易主的原因,0,1,polysyllabic lexical items,
说哪个,2,0,polysyllabic lexical items,
说你,2,0,disyllabic lexical items,
说你的坏话,1,0,polysyllabic lexical items,
说你老丈人家中出了怪事,1,0,polysyllabic lexical items,
说朋友感情上的话,1,0,polysyllabic lexical items,
说气话,1,0,polysyllabic lexical items,
说球,1,0,disyllabic lexical items,
说人家的事情,1,0,polysyllabic lexical items,
说啥,1,0,disyllabic lexical items,
说傻话,1,0,polysyllabic lexical items,
说上海话,1,0,polysyllabic lexical items,
说尚太太,1,0,polysyllabic lexical items,
说谁,3,0,disyllabic lexical items,
说什么,58,4,polysyllabic lexical items,
说什么跟谁说,1,0,polysyllabic lexical items,
说什么金银地主,1,0,polysyllabic lexical items,
说神刀一出，神剑无光了,1,0,polysyllabic lexical items,
说树生,1,0,polysyllabic lexical items,
说他,1,0,disyllabic lexical items,
说他这一来乃是多事,1,0,polysyllabic lexical items,
说她的坏话,1,0,polysyllabic lexical items,
说她的男朋友,0,1,polysyllabic lexical items,
说她的朋友多,1,0,polysyllabic lexical items,
说为除消人类的病敌而努力,1,0,polysyllabic lexical items,
说我,4,2,disyllabic lexical items,
说我“精力充沛”,1,0,polysyllabic lexical items,
说我好棒,1,0,polysyllabic lexical items,
说我就是要为了挣钱,1,0,polysyllabic lexical items,
说我什么闲话,1,0,polysyllabic lexical items,
说我做什么,1,0,polysyllabic lexical items,
说瞎话,1,0,polysyllabic lexical items,
说闲话,1,0,polysyllabic lexical items,
说萧明的坏话,1,0,polysyllabic lexical items,
说笑话,2,2,polysyllabic lexical items,
说些什么,13,0,polysyllabic lexical items,
说一个道理,2,0,polysyllabic lexical items,
说一个女神,1,0,polysyllabic lexical items,
说一件绝大的秘密,1,0,polysyllabic lexical items,
说一篇复杂离奇的《东周列国》,1,0,polysyllabic lexical items,
说一些什么,1,0,polysyllabic lexical items,
说遗传说基因,1,0,polysyllabic lexical items,
说这个,1,0,polysyllabic lexical items,
说这种爱情没有结果,1,0,polysyllabic lexical items,
说真的,2,0,polysyllabic lexical items,
说真话,2,0,polysyllabic lexical items,
说正经话,3,0,polysyllabic lexical items,
说祝福的话,1,0,polysyllabic lexical items,
说自己,1,0,polysyllabic lexical items,
说自己的话,1,0,polysyllabic lexical items,
说祖父,1,0,polysyllabic lexical items,
思考,10,2,disyllabic lexical items,
思考别的,1,0,polysyllabic lexical items,
思考对策,1,0,polysyllabic lexical items,
思考防守的对策,1,0,polysyllabic lexical items,
思考今天如果又等不到工怎么办,0,1,polysyllabic lexical items,
思考某个深奥的问题,1,0,polysyllabic lexical items,
思考欧阳海的问题,1,0,polysyllabic lexical items,
思考如何将企业长远发展与中国的国家发展战略结合在一起,1,0,polysyllabic lexical items,
思考什么,1,0,polysyllabic lexical items,
思考什么「大道理」,0,1,polysyllabic lexical items,
思考脱身的方法,1,0,polysyllabic lexical items,
思考问题,2,1,polysyllabic lexical items,
思考些什么,1,0,polysyllabic lexical items,
思考一个问题,1,0,polysyllabic lexical items,
思考怎么办,1,0,polysyllabic lexical items,
思考这个问题,2,0,polysyllabic lexical items,
思考这些问题,1,0,polysyllabic lexical items,
思考自己的发展问题,2,0,polysyllabic lexical items,
思考自己可以有何作为,1,0,polysyllabic lexical items,
思考自己能从大湾区的建设中发现什么机遇,1,0,polysyllabic lexical items,
思索,29,6,disyllabic lexical items,
思索道静的话,1,0,polysyllabic lexical items,
思索刚才淑华说的一句话,1,0,polysyllabic lexical items,
思索离间之策,0,1,polysyllabic lexical items,
思索什么,5,0,polysyllabic lexical items,
思索什么事情,1,0,polysyllabic lexical items,
思索问题,0,1,polysyllabic lexical items,
思索一件事情,1,0,polysyllabic lexical items,
思索一件重大的事情,1,0,polysyllabic lexical items,
思索有什么解围的办法,0,1,polysyllabic lexical items,
思索再加另外什么字,1,0,polysyllabic lexical items,
思索这个问题,1,0,polysyllabic lexical items,
思索这件事情,1,0,polysyllabic lexical items,
思索这些问题,1,0,polysyllabic lexical items,
撕裂一块布,1,0,polysyllabic lexical items,
撕碎,1,0,disyllabic lexical items,
死,2,1,monosyllabic lexical items,
松开,0,1,disyllabic lexical items,
送饭,0,1,disyllabic lexical items,
送来,1,0,disyllabic lexical items,
送穷,1,0,disyllabic lexical items,
送信,1,0,disyllabic lexical items,
搜查,0,1,disyllabic lexical items,
搜查《挺进报》,1,0,polysyllabic lexical items,
搜查他的同伙,0,1,polysyllabic lexical items,
搜查一个黄脸的商人模样的人,0,1,polysyllabic lexical items,
搜集兵器谱上的各种知名兵刃,1,0,polysyllabic lexical items,
"搜集关于
「新港」的材料",0,1,polysyllabic lexical items,
搜集秘方,1,0,polysyllabic lexical items,
搜集名器谱上的各种名器,1,0,polysyllabic lexical items,
搜集我的材料,0,1,polysyllabic lexical items,
搜集衣裳或是鞋袜,1,0,polysyllabic lexical items,
搜索,0,1,disyllabic lexical items,
搜索并欲消灭他,1,0,polysyllabic lexical items,
搜索她的行踪,0,1,polysyllabic lexical items,
搜索谈话的材料,1,0,polysyllabic lexical items,
搜寻那些渐渐被忘却的往事,1,0,polysyllabic lexical items,
搜寻谁的身影,1,0,polysyllabic lexical items,
搜寻幸存者,0,1,polysyllabic lexical items,
搜寻遇难者的下落,0,1,polysyllabic lexical items,
算地主的地亩,1,0,polysyllabic lexical items,
算计别人,2,0,polysyllabic lexical items,
算计对方,1,0,polysyllabic lexical items,
算计钱钱钱,2,0,polysyllabic lexical items,
算计三个村庄谁家会投他的票,1,0,polysyllabic lexical items,
算江世荣的租子帐,1,0,polysyllabic lexical items,
算账,2,0,disyllabic lexical items,
损害澳大利亚的国际贸易,0,1,polysyllabic lexical items,
损害未来的合作机会,0,1,polysyllabic lexical items,
损失宝贵的市场份额,0,1,polysyllabic lexical items,
缩肩膀,1,0,polysyllabic lexical items,
缩小,14,7,disyllabic lexical items,
缩小它的危害,0,1,polysyllabic lexical items,
缩小同发达国家的差别,1,0,polysyllabic lexical items,
锁门,1,0,disyllabic lexical items,
塌,1,0,monosyllabic lexical items,
踏,1,0,monosyllabic lexical items,
踏大水车,1,0,polysyllabic lexical items,
踏入一个梦境,1,0,polysyllabic lexical items,
踏上一个新的台阶,0,1,polysyllabic lexical items,
踏蹄,1,0,disyllabic lexical items,
抬电杆上山抢修,1,0,polysyllabic lexical items,
抬杠,1,0,disyllabic lexical items,
抬麻翻的三个日本兵和孙毛旦,0,1,polysyllabic lexical items,
抬木头,1,0,polysyllabic lexical items,
抬头,1,1,disyllabic lexical items,
摊饼,0,1,disyllabic lexical items,
摊平,0,1,disyllabic lexical items,
谈,6,1,monosyllabic lexical items,
谈爱,1,0,disyllabic lexical items,
谈夫妻,1,0,polysyllabic lexical items,
谈个人切身的事,1,0,polysyllabic lexical items,
谈工作,0,1,polysyllabic lexical items,
谈共产党,1,0,polysyllabic lexical items,
谈古论今,0,1,polysyllabic lexical items,
谈规划,1,0,polysyllabic lexical items,
谈话,2,1,disyllabic lexical items,
谈火把节留下来的值得纪念的回忆,1,0,polysyllabic lexical items,
谈君子境界,1,0,polysyllabic lexical items,
谈恋爱,5,1,polysyllabic lexical items,
谈论,3,3,disyllabic lexical items,
谈论“北大荒”正经历着的巨大变革,1,0,polysyllabic lexical items,
谈论“人”,1,0,polysyllabic lexical items,
谈论陈家的事情,1,0,polysyllabic lexical items,
谈论村里的账,0,1,polysyllabic lexical items,
谈论房子,1,0,polysyllabic lexical items,
谈论经济大转型,0,1,polysyllabic lexical items,
谈论救亡问题,1,0,polysyllabic lexical items,
谈论军国大计,0,1,polysyllabic lexical items,
谈论连长太太的事情,1,0,polysyllabic lexical items,
谈论那本书的印象,1,0,polysyllabic lexical items,
谈论强台风“妮妲”,1,0,polysyllabic lexical items,
谈论少爷的病,0,1,polysyllabic lexical items,
谈论什么,3,0,polysyllabic lexical items,
谈论什么事,0,1,polysyllabic lexical items,
谈论时局,2,0,polysyllabic lexical items,
谈论颂莲让雁儿吞草纸的事情,1,0,polysyllabic lexical items,
谈论她的事情,2,0,polysyllabic lexical items,
谈论她的嗣子脾气古怪,0,1,polysyllabic lexical items,
谈论田地上的事情,1,0,polysyllabic lexical items,
谈论通信班长的问题,0,1,polysyllabic lexical items,
谈论我,0,1,polysyllabic lexical items,
谈论我和奥尼尔,1,0,polysyllabic lexical items,
谈论我和我的二妹利狄亚,1,0,polysyllabic lexical items,
谈论雾霾这个话题,1,0,polysyllabic lexical items,
谈论些什么,1,0,polysyllabic lexical items,
谈论学习与争红旗的计划,1,0,polysyllabic lexical items,
谈论一本刚看过的对我国目前经济形势及未来发展趋势进行评估的书,0,1,polysyllabic lexical items,
谈论政治,1,0,polysyllabic lexical items,
谈论织毛衣的事,0,1,polysyllabic lexical items,
谈论种植、庄稼,1,0,polysyllabic lexical items,
谈论重要题目,0,1,polysyllabic lexical items,
谈鸣凤的事情,1,0,polysyllabic lexical items,
谈那种可以说是……就是整个社会意义，情感上阴阳和谐的问题,1,0,polysyllabic lexical items,
谈男女大防,1,0,polysyllabic lexical items,
谈钱,1,0,disyllabic lexical items,
谈人类的初始状态,1,0,polysyllabic lexical items,
